RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
89528,72401,Jonesboro,AR,Jonesboro,Craighead County,259,51800,51900,52100,52200,52300,52500,52600,52700,52900,53000,53100,53200,53400,53500,53700,54000,54300,54700,55100,55700,56300,57000,57700,58400,59100,59700,60400,61000,61700,62300,63000,63800,64700,65700,66500,67300,68000,68600,69100,69400,69700,69900,70000,70100,70100,70000,70000,70100,70200,70400,70700,71000,71500,72000,72500,73000,73500,74000,74300,74600,74800,74900,74900,74900,74800,74700,74500,74400,74200,74100,74000,74000,74100,74100,74200,74400,74700,75000,75400,75900,76400,76900,77300,77600,77800,77900,77900,77800,77600,77300,76900,76500,76100,75800,75600,75500,75700,76000,76400,76800,77200,77700,78200,78900,79700,80600,81600,82500,83200,83800,84200,84600,85000,85500,85900,86200,86400,86400,86400,86400,86400,86600,87100,87800,88500,89200,89700,90100,90300,90500,90800,91000,91200,91400,91500,91500,91300,91000,90800,90700,90700,90800,90900,90900,90800,90600,90600,90600,90500,90400,90400,90400,90400,90400,90500,90500,90400,90400,90400,90600,91000,91300,91800,92300,92700,92900,92900,93500,94500,95500,95700,95500,95300,95000,94500,93800,93500,93300,92800,92200,91300,90200,89300,88300,87700,87500,87600,87800,87900,87400,86900,86100,85900,86300,86900,87500,88400,89100,89600,89800,89800,90200,91000,91900,92400,92500,92700,93100,92900,92500,92700,93300,94200,94900,95500,95800,95600,95600,96100,96600,97200,98300,99000,99000,99300,100400,101400,101900,102200,102400,102100,101700,101200,100700,99700,98800,98300,98100,98200,99200,100900,102900,105200,107500,109300,110200,110500,110400,109700,109100,109300,109500,109700,109500,109100,108700,108600,108800,109200,109400,109600,109800,110300,111000,111100,110600,109700,109300,109200,109200,110300,113100,115600
89249,71913,Hot Springs,AR,Hot Springs,Garland County,297,82100,81900,81600,81300,81000,80600,80200,79900,79500,79200,78900,78800,78900,79200,79800,80600,81500,82500,83400,84400,85300,86300,87100,87700,88300,88700,89100,89300,89300,89300,89100,88800,88600,88400,88200,87900,87700,87600,87500,87600,87700,88000,88400,89000,89700,90400,91100,91700,92400,92900,93300,93600,93800,94000,94200,94500,94700,95100,95400,95600,95700,95800,95800,95700,95700,95700,95800,96100,96400,96800,97100,97400,97700,97800,97900,98000,98200,98600,99100,99900,100900,102100,103400,104600,105800,107000,108200,109500,110600,111500,112200,112700,113100,113500,114100,114800,115600,116600,117600,118500,119400,120200,120900,121500,122000,122300,122800,123400,124300,125400,126700,128200,129800,131400,132900,134300,135400,136300,137000,137500,137900,138300,138700,139200,139900,140700,141600,142200,142700,143100,143300,143100,142600,142100,141700,141300,141000,140500,140000,139400,138700,138200,138100,138000,138100,138500,138900,139000,138800,138500,138100,137800,137500,137300,137300,137100,136600,136400,136200,136000,135900,136200,136800,137200,138100,138900,138800,139000,139800,139900,139100,138600,137800,136600,135400,135000,134900,135100,135500,136300,136700,136400,135600,134500,133600,133400,133100,132400,131600,130900,130100,129200,128700,128700,129200,130000,130500,130500,131000,132000,132700,132600,132700,132900,132700,132600,133000,133800,134400,134900,135100,135500,135800,136200,136500,136300,135600,134900,134300,134200,134300,133700,132300,131000,130200,129800,129700,130200,131500,132900,133400,133400,134100,135400,136400,137100,137700,138400,139100,139700,140200,140400,140600,140700,140900,141500,142300,142400,142600,143400,144100,143900,143800,144400,145300,145600,145600,146300,147300,147800,146900,145600,145400,145900,145600,145400,146000,147100,147700,147700,147900,148800,149800
89319,72034,Conway,AR,Little Rock-North Little Rock-Conway,Faulkner County,607,75600,76100,76700,77300,78000,78800,79600,80500,81400,82400,83400,84400,85300,86100,86900,87600,88200,88700,89100,89500,89900,90400,90900,91400,91900,92300,92600,92800,93000,93200,93400,93500,93600,93600,93700,93800,93900,93900,93800,93700,93700,93600,93700,93800,93900,94100,94500,94700,94800,94700,94400,94000,93700,93500,93500,93700,94300,95100,96200,97500,98900,100300,101700,103200,104400,105500,106300,107100,107700,108300,108900,109400,109900,110300,110600,110800,111100,111200,111400,111900,112400,112300,111700,111100,110700,110900,111500,112500,113600,114800,115800,116600,117200,117500,117800,118000,118100,118300,118600,119000,119600,120500,121300,122100,122900,123800,125000,126200,127600,128800,129700,130500,131000,131600,132400,133400,134600,135900,137300,138600,139800,140600,141400,142300,143100,143700,144200,144400,144400,144300,144200,144500,145100,145800,146300,146500,146300,146100,146000,146100,146400,146700,147000,147100,147200,147000,146800,146600,146500,146400,146300,146300,146200,146200,146300,146500,146700,146900,147200,147300,147300,147400,147600,147900,147900,147900,148300,148000,147200,147000,147300,147600,147800,147900,147800,147200,146800,146800,146800,146500,146300,146400,146500,146300,146000,146100,145900,146000,146700,146600,146100,145400,143900,141300,139300,138300,138100,138300,138600,138700,138500,138600,138700,140200,143100,145600,146300,147200,148100,148600,148800,149400,150000,150200,150200,150000,150100,150800,152000,152900,153400,154000,154900,155700,156000,156000,156500,157000,157000,157000,157000,156700,156200,155600,155000,154300,154200,154800,155500,155800,156200,157000,158000,159300,160800,162100,163500,165100,166600,167800,169000,170300,171100,171800,172900,173200,172500,171300,170300,169300,168900,169000,169400,169600,169800,170400,171100,171600,171800,172400,173300,173900,174100
89707,72701,Fayetteville,AR,Fayetteville-Springdale-Rogers,Washington County,799,83100,83500,83700,83800,83700,83700,83700,83600,83600,83800,84400,85000,85500,85800,86000,86100,86100,86100,86100,86000,86000,86300,86800,87200,87400,87500,87400,87300,87200,87100,87300,87500,87800,88400,89500,90500,91300,91900,92100,92000,91800,91400,91100,90800,90500,90700,91500,92600,93800,95000,96300,97800,99400,101200,103100,104900,106600,108400,110400,112300,113600,114100,113600,112300,110500,108200,105700,103300,100900,99200,98700,98900,99400,100200,101300,102800,104700,107000,109500,112900,117700,120100,117400,112900,109800,108400,108600,110100,112200,114500,116800,119000,120900,122800,125200,127800,130300,132600,134800,136600,138400,140200,141700,142600,142800,143400,144600,146100,147400,148400,149200,150100,151200,152400,153800,155100,156000,157100,159200,162100,165400,168400,170800,172500,173600,174000,174100,174100,174400,175200,176400,177500,177900,177400,176100,174700,173300,172100,171100,170100,169200,168500,167700,167300,167000,166600,166100,165600,164900,164200,163500,163000,162400,161900,161200,160800,160400,159800,159100,159000,159100,159200,159300,159300,159100,159000,159200,157200,153600,152100,153100,153300,153100,153200,153700,153600,153000,152200,151400,151700,153300,153900,152900,151000,149600,148600,147600,147000,147300,148600,150200,151700,152800,153600,154200,155200,156100,156400,156100,156000,156200,156500,157100,158000,158900,159600,160100,160500,160400,159700,159900,161100,161900,161700,161100,160500,160700,161600,162900,164200,165600,167000,168000,168500,168700,168900,168800,168800,168500,167600,167400,168400,169800,170900,171500,172000,173400,175400,177000,178500,180600,182700,183900,184600,185600,187100,188900,189700,189300,189000,189200,190400,191800,192500,193000,194200,195200,196100,197700,200000,202300,205400,209800,213400,215200,216300,217500,218400,219600,221700,223900,226100,227900
89749,72764,Springdale,AR,Fayetteville-Springdale-Rogers,Washington County,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104900,106600,108400,110200,111600,112200,113100,114800,117000,119200,121400,123600,125600,127300,128400,129200,129500,129200,129300,130500,132100,133300,134200,134900,135600,136400,137200,138200,138900,139300,140100,141900,144100,145900,147200,147800,148200,148300,148500,148500,148400,148000,147700,147700,148000,148200,148000,147500,147000,146600,146200,145800,145200,144700,144100,143400,142600,141900,140800,139300,138000,136600,135300,134000,132700,131400,130200,128800,127700,126700,125400,123900,122600,121500,120600,119600,118800,118300,118100,118200,116700,114200,112700,112400,111900,111500,110900,110600,110100,109300,108400,108000,108500,109400,110200,110400,109400,107800,106300,104800,103200,101900,100900,100600,100300,100100,99700,100100,101000,101500,101700,102600,104200,106000,107700,108900,109700,110500,111300,111500,111500,111800,112500,113000,113100,113000,112500,111800,111700,112300,113100,113700,115000,116900,118000,118400,118800,119600,120500,121200,121700,121600,121200,121000,121500,122300,123400,124300,124900,125400,126000,126700,127900,129300,130200,130800,131600,132300,133100,134300,135700,137000,138100,138700,139400,140400,141500,142400,143200,143500,144000,144600,145200,145600,146700,148600,150300,151600,153000,154200,154800,155500,156700,158100,159400,160300
89355,72076,Jacksonville,AR,Little Rock-North Little Rock-Conway,Pulaski County,1479,59400,59400,59300,59300,59300,59300,59400,59600,59900,60400,60900,61400,61800,62200,62300,62400,62500,62500,62400,62300,62200,62200,62300,62400,62600,62800,63100,63300,63600,63700,63900,63900,64000,64000,64100,64100,64000,64000,63900,63800,63800,63900,64200,64500,65000,65700,66400,67200,68000,68600,69000,69300,69400,69500,69600,69600,69600,69700,70000,70200,70300,70200,70100,69900,69700,69600,69500,69600,69800,70300,70900,71600,72200,72700,73000,73000,73000,73000,73000,73200,73400,73200,72500,71600,71300,71700,72900,74400,76000,77400,78400,79200,79700,80300,80900,81500,81900,81900,81600,81000,80300,79900,79800,80000,80300,80700,81100,81300,81500,81800,82200,83000,84000,84900,85700,86300,86800,87300,87700,88100,88400,88800,89200,89700,90500,91500,92100,92000,91500,90700,90000,89700,89800,90100,90200,90100,90000,90100,90200,90600,91100,91900,92500,93000,93400,93500,93100,92700,92100,91600,91200,90900,90700,90900,91100,91400,91600,91800,91700,91600,91500,91300,91000,90900,90700,90200,90400,90500,89900,90000,91600,92500,92800,93000,93200,93400,93500,93300,93100,92600,91600,90000,88700,87900,87500,87200,87100,87000,86900,86800,86400,86600,87600,88900,89700,90300,90500,90300,89800,89800,90000,90000,89900,89900,90000,89500,88300,87600,87900,88600,89300,89700,89700,89700,89600,89400,89200,88800,88200,87900,87600,87300,87100,87500,88500,89800,90600,90900,91800,93500,94800,95500,96300,97400,97900,97600,96900,96800,97100,97000,96100,95100,94200,93000,91700,91000,90700,91600,93600,95200,95900,96600,97400,97600,98400,99700,100000,99600,99200,97500,94400,92500,92700,93800,94900,96100,97200,98200,99000,99900,100200,100700,101400
89743,72756,Rogers,AR,Fayetteville-Springdale-Rogers,Benton County,1521,75600,75800,76100,76500,77000,77500,78100,78700,79300,79900,80600,81200,81700,82100,82300,82200,82200,82100,81900,81700,81600,81500,81500,81500,81300,81200,81000,80700,80500,80100,79800,79500,79400,79300,79400,79500,79800,80100,80400,80800,81200,81700,82200,82600,83000,83300,83700,83900,84000,84000,84000,84000,84100,84300,84700,85100,85700,86300,87000,87800,88600,89200,89700,90100,90400,90500,90600,90500,90400,90300,90300,90200,90100,90000,90000,90100,90400,90900,91600,92500,93700,94800,95700,96700,97800,98900,100000,101100,102000,102800,103500,104200,105100,106300,107500,108800,110000,111300,112600,114000,115600,117200,118800,120200,121200,121900,122200,122600,123200,124100,125300,126700,128000,129200,130400,131500,132400,133200,134200,135400,136700,137900,138900,139600,139900,139900,139600,139100,138400,137700,137100,136500,135800,135200,134600,134200,133800,133200,132600,132100,131500,130800,130200,129500,128600,127400,126000,124600,123100,121400,119800,118200,116600,115100,113700,112500,111200,109600,108200,107400,107000,106900,107100,107700,108700,109600,109800,109700,109700,109000,107500,106300,106000,105200,103400,101500,99400,97500,96600,96100,95800,96200,96700,95900,94300,93400,93000,92800,92900,93200,93700,93600,93100,93000,93400,93900,94600,95400,96900,98600,100300,102000,102900,103800,105500,106900,108200,109100,110000,111400,112800,113500,113800,114000,114000,114000,113800,113500,113300,113800,114700,115100,115300,115800,116200,116400,116600,117100,117600,118300,119600,120700,121500,122100,122400,122700,124000,125900,127300,128500,129800,131000,132100,133700,135400,136600,138200,140000,140900,141400,142100,143000,144300,146000,147600,148800,149600,149700,149300,148900,148800,149500,151300,153300,154700,155600,156600,157600,158800,160400,162100,163700,164700
89745,72758,Rogers,AR,Fayetteville-Springdale-Rogers,Benton County,1565,103600,103500,103200,102600,101800,101100,100400,100100,100200,101000,102400,104300,106600,109000,111200,112800,113800,114200,114200,113600,112500,111200,109600,107800,106100,104700,103600,103000,102700,102800,103200,103800,104400,105000,105700,106500,107400,108400,109500,110500,111500,112500,113600,114600,115600,116700,117800,118800,120000,121100,122200,123200,124200,125200,126300,127500,128600,129700,130600,131500,132200,132700,132800,132500,132000,131200,130400,129500,128300,127000,125800,124600,123500,122600,122000,121900,122400,123400,125000,127600,131000,134300,137100,139200,140500,141300,142100,143000,144100,145400,146700,147900,148900,149900,150800,151700,152400,153200,154500,156500,158800,161200,163700,166200,169200,173200,177800,182600,186700,189400,190600,190600,189900,189000,188200,187100,185400,183100,181300,181100,183400,188200,194600,201400,207200,211100,213000,213400,212900,211600,209300,206000,202000,198400,195500,193100,191200,189700,188600,187800,187200,186600,185800,184400,182300,180200,178200,176400,174900,173700,172700,172100,171900,171900,171900,171500,170800,169900,169200,168600,168200,167700,167100,166700,165900,165100,165300,167000,168900,170200,170100,169200,167800,166300,164600,162700,161800,161600,161400,161300,161900,162100,161000,159600,159100,161100,164200,165700,165600,166500,167500,167800,167700,166200,164300,163200,162900,161800,160900,161000,161800,162400,162500,161300,160100,160800,164000,167100,169100,169600,169600,170100,170500,169500,168500,168900,169800,170800,170900,171400,171900,171800,171200,171700,172900,173400,173600,174500,175800,177400,179200,181000,182100,182800,183400,185000,186600,187600,188600,190000,190900,191300,192000,193200,194900,197200,199700,201300,202200,203600,205300,206200,206200,207200,209300,209800,209000,208500,208200,207100,206700,208000,210400,212500,213800,214700,214800,214700,215100,216800,218800,220900,222800
89709,72703,Fayetteville,AR,Fayetteville-Springdale-Rogers,Washington County,1576,104900,105300,105600,105800,106000,106200,106300,106400,106600,107100,107500,107800,108100,108300,108400,108300,108100,107700,107200,106700,106100,105600,105100,104400,103600,102900,102300,101800,101400,101300,101500,101800,102400,103200,104100,104900,105800,106500,107200,107700,108300,108900,109700,110500,111700,113200,115000,116900,119000,121000,123000,125000,126900,128700,130500,132200,133800,135600,137400,139000,140300,141100,141500,141300,140600,139600,138400,137000,135600,134500,133800,133100,132400,131800,131400,131100,131000,131100,131400,132600,134400,135600,136000,136500,137300,138400,139900,141700,143800,146000,148100,149600,150600,151300,152100,153200,154700,156600,158800,161100,163400,165700,167900,169800,171100,172200,173000,173500,174200,175000,176100,177300,178600,179800,181300,182800,184500,186200,187800,189100,190000,190300,190300,190100,190000,189800,189600,189600,189900,190400,190900,191400,191800,191900,191500,190900,190500,190300,190300,190100,189700,189000,188100,187300,186700,186000,185000,183800,182500,181300,180100,179100,178300,177600,176900,176400,176100,175800,175300,175300,175600,176000,176500,176800,177200,177400,177700,176400,173800,172900,174100,174300,173300,172300,171500,169800,167700,166000,165300,165400,166300,166300,165400,164900,164600,163500,162000,161100,161200,161900,162900,164500,166200,166600,166000,166400,167600,169100,170800,172700,174100,175600,176600,177300,177800,178400,179600,180800,181900,182700,183200,184000,184500,184200,183900,183600,183600,184600,185300,185200,185700,186600,187500,188400,189100,189400,189000,188100,187400,186900,187200,188200,188800,189000,189100,189200,189800,191200,193100,195600,198300,200000,200300,200100,200500,201700,203000,204000,205200,206900,208400,210300,212200,214300,217400,219500,219800,220300,221700,222900,223700,224300,225200,226100,227300,229100,230600,232000,233300,233900,234700,236500,238300
89567,72450,Paragould,AR,Paragould,Greene County,1735,47100,47400,47800,48100,48400,48600,48800,49000,49200,49400,49500,49500,49500,49500,49500,49300,49200,48900,48700,48400,48300,48200,48200,48300,48500,49100,49700,50600,51500,52500,53500,54500,55400,56300,57100,57900,58500,59100,59700,60200,60600,60900,61200,61400,61500,61600,61800,61900,62100,62300,62500,62700,62900,63200,63400,63700,63800,64000,64000,64100,64000,63900,63800,63600,63500,63300,63300,63300,63400,63500,63700,63900,64200,64500,64800,65000,65100,65300,65400,65500,65500,65700,65800,65900,65800,65800,65700,65700,65800,65900,66100,66400,66600,66800,67000,67300,67600,67800,68000,68100,68300,68400,68500,68800,69400,70000,70700,71200,71700,72100,72600,73200,73700,74300,74900,75400,75900,76200,76600,77000,77300,77800,78300,78700,79000,79200,79400,79600,79800,79900,80100,80100,80200,80300,80400,80600,80800,81100,81500,81700,81800,81900,81900,81900,81800,81600,81500,81300,81100,80900,80700,80500,80400,80300,80300,80200,80100,80000,80000,80200,80600,81200,81800,82300,82800,83200,83400,83800,84500,85000,84600,83800,82700,81900,81100,80400,79800,79400,79100,79100,79300,79500,80000,81200,83100,85100,87400,90400,94000,97500,100700,103600,105800,107600,109200,110200,109600,107400,104700,101900,98800,95800,93200,90800,88600,86800,85600,84200,83300,83300,83600,84200,84500,84100,83700,83900,84500,84700,86100,88600,90600,91300,91600,91200,90500,90000,89400,88700,88000,87600,87100,86500,86200,86200,86500,87000,87700,88600,89200,89800,91000,92400,92900,92800,92800,93200,93800,94200,94500,94600,94600,94500,94500,94500,94200,93800,93700,94100,94600,94800,95000,96500,99400,101600,102500,103100,103400,103700,104500,105000,105200,105700,106400
