rank,city,state,population,growth
1,New York,New York,8405837,0.05
2,Los Angeles,California,3884307,0.05
3,Chicago,Illinois,2718782,-0.06
4,Houston,Texas,2195914,0.11
5,Philadelphia,Pennsylvania,1553165,0.03
6,Phoenix,Arizona,1513367,0.14
7,San Antonio,Texas,1409019,0.21
8,San Diego,California,1355896,0.11
9,Dallas,Texas,1257676,0.06
10,San Jose,California,998537,0.11
11,Austin,Texas,885400,0.32
12,Indianapolis,Indiana,843393,0.08
13,Jacksonville,Florida,842583,0.14
14,San Francisco,California,837442,0.08
15,Columbus,Ohio,822553,0.15
16,Charlotte,North Carolina,792862,0.39
17,Fort Worth,Texas,792727,0.45
18,Detroit,Michigan,688701,-0.27
19,El Paso,Texas,674433,0.19
20,Memphis,Tennessee,653450,-0.05
21,Seattle,Washington,652405,0.16
22,Denver,Colorado,649495,0.17
23,Washington,District of Columbia,646449,0.13
24,Boston,Massachusetts,645966,0.09
25,Nashville-Davidson,Tennessee,634464,0.16
26,Baltimore,Maryland,622104,-0.04
27,Oklahoma City,Oklahoma,610613,0.2
28,Louisville/Jefferson County,Kentucky,609893,0.1
29,Portland,Oregon,609456,0.15
30,Las Vegas,Nevada,603488,0.25
31,Milwaukee,Wisconsin,599164,0
32,Albuquerque,New Mexico,556495,0.24
33,Tucson,Arizona,526116,0.08
34,Fresno,California,509924,0.18
35,Sacramento,California,479686,0.17
36,Long Beach,California,469428,0.02
37,Kansas City,Missouri,467007,0.06
38,Mesa,Arizona,457587,0.14
39,Virginia Beach,Virginia,448479,0.05
40,Atlanta,Georgia,447841,0.06
41,Colorado Springs,Colorado,439886,0.21
42,Omaha,Nebraska,434353,0.06
43,Raleigh,North Carolina,431746,0.49
44,Miami,Florida,417650,0.15
45,Oakland,California,406253,0.01
46,Minneapolis,Minnesota,400070,0.05
47,Tulsa,Oklahoma,398121,0.01
48,Cleveland,Ohio,390113,-0.18
49,Wichita,Kansas,386552,0.1
50,Arlington,Texas,379577,0.13
51,New Orleans,Louisiana,378715,-0.22
52,Bakersfield,California,363630,0.48
53,Tampa,Florida,352957,0.16
54,Honolulu,Hawaii,347884,-0.06
55,Aurora,Colorado,345803,0.24
56,Anaheim,California,345012,0.05
57,Santa Ana,California,334227,-0.01
58,St. Louis,Missouri,318416,-0.08
59,Riverside,California,316619,0.23
60,Corpus Christi,Texas,316381,0.14
61,Lexington-Fayette,Kentucky,308428,0.18
62,Pittsburgh,Pennsylvania,305841,-0.08
63,Anchorage,Alaska,300950,0.15
64,Stockton,California,298118,0.22
65,Cincinnati,Ohio,297517,-0.1
66,St. Paul,Minnesota,294873,0.03
67,Toledo,Ohio,282313,-0.1
68,Greensboro,North Carolina,279639,0.22
69,Newark,New Jersey,278427,0.02
70,Plano,Texas,274409,0.22
71,Henderson,Nevada,270811,0.51
72,Lincoln,Nebraska,268738,0.18
73,Buffalo,New York,258959,-0.11
74,Jersey City,New Jersey,257342,0.07
75,Chula Vista,California,256780,0.46
76,Fort Wayne,Indiana,256496,0.01
